InstanceId,Name,Volumes,SizeGiB,SizeGB,Region,InstanceType,Platform
i-04afcaaa1da8c45cb,,1,8,8.59,us-east-2,t2.micro,
i-0a1aa489f0ae61d2a,,1,60,64.425,us-west-2,t2.medium,Windows
i-0a1c9eb90803394e4,,1,32,34.36,us-west-2,t2.small,
i-09ff8ee141bdb05db,,1,8,8.59,us-west-2,t2.micro,
i-01cabe1586307e8e8,,1,8,8.59,us-west-2,t2.micro,
i-0df93b4dc04e6d70b,,1,30,32.212,us-west-2,t3.medium,Windows
i-0cf4ba46daf2acd49,,1,60,64.425,us-west-2,t2.medium,Windows
i-0b9ee35c6d376fba5,,1,32,34.36,us-west-2,t2.small,
i-0f596a9ff1013c2ec,,1,30,32.212,us-west-2,t2.micro,Windows
i-0a66706d8b03e5f9b,,1,2,2.147,us-west-2,t3.medium,
i-019f6dc53cd253d45,,1,50,53.687,us-west-2,t3.medium,Windows
i-0d1715a8127ee66f3,,2,912,979.253,us-west-2,m5.4xlarge,
i-08c9cc59bf88c030b,,2,912,979.253,us-west-2,m5.4xlarge,
i-0dc872da97670cd62,,2,912,979.253,us-west-2,m5.4xlarge,
i-04464ae2843eccf74,,1,60,64.425,us-west-2,t2.medium,Windows
i-0e16ac315ae6f0469,,1,60,64.425,us-west-2,t2.medium,Windows
i-0507c1ed652c64211,,1,32,34.36,us-west-2,t2.small,
i-085f255c5abbe7dbc,,1,32,34.36,us-west-2,t2.small,
i-03fdc465df4cd2365,,1,32,34.36,us-west-2,t2.small,
i-03710959aa9bd7fc6,,1,32,34.36,us-west-2,t2.small,
i-0e48068bbe988c0d5,,1,60,64.425,us-west-2,t2.micro,Windows
i-08cd3dacfed1b1cac,,1,32,34.36,us-west-2,t2.small,
i-0f9e01a0e655c6bb8,,1,60,64.425,us-west-2,t2.medium,Windows
i-0640943631f9ef326,,1,60,64.425,us-west-2,t2.medium,Windows
i-07349f34b581934f1,,1,32,34.36,us-west-2,t2.small,
i-02b8c2ce4fbb15805,,1,60,64.425,us-west-2,t2.medium,Windows
i-0f4e2615bdc5f74b9,,1,30,32.212,us-west-2,t2.micro,Windows
i-06b24e442a73eb2c3,,2,900,966.368,us-west-2,m5.xlarge,
i-03871112462633ae8,,2,900,966.368,us-west-2,m5.xlarge,
